instance_id,schema_version,dataset,scale.n_var_families,scale.n_constr_families,scale.m_all,scale.m_unary,scale.m_rel,scale.total_incidence,scale.total_incidence_all,scale.mean_arity,scale.mean_arity_all,local.incidence_density,local.intersection_density,local.mean_positive_overlap,local.conditional_jaccard,local.all_pair_jaccard,entity.spectral_coupling_index,entity.spectral_radius_raw,entity.treewidth.status,entity.treewidth.lower_bound,entity.treewidth.upper_bound,entity.treewidth.value,entity.treewidth_norm,entity.hubness,entity.cycle_rank,entity.cycle_density,entity.largest_component_ratio,entity.primal_edge_count,entity.max_degree,obligation.spectral_coupling_index,obligation.weighted_spectral_radius_raw,obligation.treewidth.status,obligation.treewidth.lower_bound,obligation.treewidth.upper_bound,obligation.treewidth.value,obligation.hubness,obligation.cycle_rank,obligation.cycle_density,obligation.largest_component_ratio,burden.m_all,burden.m_unary,burden.m_rel,burden.n_exception,burden.l_decision,burden.n_conditional,controls.scale_vars,controls.scale_constr,controls.schema_version,instance_metrics.n_families_indexed,instance_metrics.domain_total,instance_metrics.n_vertices,instance_metrics.n_edges,instance_metrics.edges_top_level,instance_metrics.edges_explicit,instance_metrics.edges_synthesized,instance_metrics.incidence,instance_metrics.mean_arity,instance_metrics.max_arity,instance_metrics.incidence_density,instance_metrics.coupling_edges,instance_metrics.unary_instance_edges,instance_metrics.intra_family_edges,instance_metrics.cross_family_edges,instance_metrics.family_involved,instance_metrics.vertices_per_family,instance_metrics.coupling_ratio,instance_metrics.intersection_density,instance_metrics.mean_positive_overlap,instance_metrics.mean_instance_jaccard,instance_metrics.spectral_coupling_index,instance_metrics.spectral_radius_raw,instance_metrics.largest_component_ratio,instance_metrics.cycle_rank,instance_metrics.cycle_density,instance_metrics.hubness,instance_metrics.max_degree,instance_metrics.primal_edges,n_obligations_total,n_obligations_coupling
OPTEngine_BinPacking,SOH-1.2,,2,1,3,2,1,2,4,2.0,1.3333333333333333,1.0,0.0,,,0.0,1.0,1.0,exact,1,1,1,1.0,0.0,0,0.0,1.0,1,1,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,3,2,1,0,0,0,2,1,SOH-1.2,0,0,12,3,0,3,0,13,4.333333333333333,10,0.3611111111111111,2,1,2,1,2,6.0,0.3333333333333333,0.3333333333333333,1.0,0.030303030303030304,0.27306694291799966,3.0037363720979964,0.9166666666666666,36,0.6545454545454545,0.2545454545454545,10,46,3,1
OPTEngine_Inventory_5,SOH-1.2,,4,2,6,4,2,5,9,2.5,1.5,0.625,1.0,1.0,0.25,0.25,0.36168108110433894,1.0850432433130168,exact,2,2,2,0.6666666666666666,0.6666666666666666,1,0.3333333333333333,1.0,4,3,0.25,0.25,exact,1,1,1,0.0,0,0.0,1.0,6,4,2,0,0,0,4,2,SOH-1.2,4,20,13,6,0,6,0,17,2.8333333333333335,4,0.21794871794871795,6,0,0,6,4,3.25,1.0,0.26666666666666666,1.0,0.05444444444444444,0.04640385147170135,0.5568462176604162,0.6153846153846154,7,0.10606060606060606,0.2196969696969697,5,18,6,2
OPTEngine_Inventory_5_1,SOH-1.2,,4,3,6,3,3,7,10,2.3333333333333335,1.6666666666666667,0.5833333333333334,0.6666666666666666,1.5,0.4583333333333333,0.3055555555555555,0.3126229447387033,0.9378688342161099,exact,2,2,2,0.6666666666666666,0.6666666666666666,1,0.3333333333333333,1.0,4,3,0.3560001560548971,0.7120003121097942,exact,1,1,1,1.0,0,0.0,1.0,6,3,3,0,0,0,4,3,SOH-1.2,4,20,13,12,0,12,0,22,1.8333333333333333,4,0.14102564102564102,7,5,5,7,4,3.25,0.5833333333333334,0.18181818181818182,1.0833333333333333,0.07752525252525254,0.02511594791364941,0.3013913749637929,0.38461538461538464,4,0.06060606060606061,0.19696969696969696,4,13,6,3
OPTEngine_Inventory_5_2_aug,SOH-1.2,,3,1,6,5,1,3,8,3.0,1.3333333333333333,1.0,0.0,,,0.0,0.9999999999999999,1.9999999999999998,exact,2,2,2,1.0,0.0,1,1.0,1.0,3,2,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,6,5,1,1,0,0,3,1,SOH-1.2,3,15,11,5,0,5,0,15,3.0,4,0.2727272727272727,5,0,0,5,3,3.6666666666666665,1.0,0.4,1.0,0.08166666666666667,0.06715762331984079,0.6715762331984079,1.0,6,0.13333333333333333,0.25555555555555554,5,16,6,1
OPTEngine_Inventory_5_3_aug,SOH-1.2,OPTEngine,3,1,7,6,1,3,9,3.0,1.2857142857142858,1.0,0.0,,,0.0,0.9999999999999999,1.9999999999999998,exact,2,2,2,1.0,0.0,1,1.0,1.0,3,2,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,7,6,1,0,0,0,3,1,SOH-1.2,3,15,15,19,0,19,0,32,1.6842105263157894,4,0.11228070175438597,5,14,14,5,3,5.0,0.2631578947368421,0.1286549707602339,1.0,0.05192147034252298,0.015337054594689538,0.21471876432565354,0.9333333333333333,12,0.13186813186813187,0.21978021978021978,6,25,7,1
OPTEngine_JobShop,SOH-1.2,OPTEngine,2,1,5,4,1,2,6,2.0,1.2,1.0,0.0,,,0.0,1.0,1.0,exact,1,1,1,1.0,0.0,0,0.0,1.0,1,1,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,5,4,1,0,0,0,2,1,SOH-1.2,2,12,12,20,0,20,0,38,1.9,2,0.15833333333333333,18,2,17,3,2,6.0,0.15,0.2736842105263158,1.0,0.1,0.015812308163809564,0.1739353898019052,1.0,7,0.12727272727272726,0.10909090909090909,4,18,5,1
OPTEngine_Knapsack_10,SOH-1.2,,0,0,1,1,0,0,1,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,1,1,0,0,0,0,0,0,SOH-1.2,1,10,10,1,1,1,0,10,10.0,10,1.0,1,0,1,0,1,10.0,0.0,0.0,,0.0,0.9999999999999998,8.999999999999998,1.0,36,1.0,0.0,9,45,1,0
OPTEngine_Knapsack_10_1,SOH-1.2,,0,0,1,1,0,0,1,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,1,1,0,0,0,0,0,0,SOH-1.2,1,10,10,1,1,1,0,10,10.0,10,1.0,1,0,1,0,1,10.0,0.0,0.0,,0.0,0.9999999999999998,8.999999999999998,1.0,36,1.0,0.0,9,45,1,0
OPTEngine_Knapsack_10_1_aug,SOH-1.2,,0,0,2,2,0,0,2,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,2,2,0,0,0,1,0,0,SOH-1.2,1,10,10,2,0,2,0,12,6.0,10,0.6,2,0,2,0,1,10.0,0.0,1.0,2.0,0.2,0.5120550314460168,4.608495283014151,1.0,36,1.0,0.0,9,45,2,0
OPTEngine_Knapsack_10_2,SOH-1.2,,0,0,2,2,0,0,2,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,2,2,0,0,0,0,0,0,SOH-1.2,1,10,10,1,1,1,0,10,10.0,10,1.0,1,0,1,0,1,10.0,0.0,0.0,,0.0,0.9999999999999998,8.999999999999998,1.0,36,1.0,0.0,9,45,2,0
OPTEngine_Knapsack_10_3_aug,SOH-1.2,,0,0,2,2,0,0,2,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,2,2,0,0,0,0,0,0,SOH-1.2,1,10,10,2,0,2,0,12,6.0,10,0.6,2,0,2,0,1,10.0,0.0,1.0,2.0,0.2,0.5120550314460165,4.608495283014149,1.0,36,1.0,0.0,9,45,2,0
OPTEngine_TSP_4,SOH-1.2,,0,0,2,2,0,0,2,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,2,2,0,0,0,0,0,0,SOH-1.2,1,3,6,7,0,7,0,24,3.4285714285714284,4,0.5714285714285714,7,0,7,0,1,6.0,0.0,1.0,1.7142857142857142,0.3333333333333333,0.2857142857142857,1.4285714285714284,1.0,10,1.0,0.0,5,15,2,0
OPTEngine_TSP_4_6_aug,SOH-1.2,,0,0,5,5,0,0,5,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,5,5,0,0,0,0,0,0,SOH-1.2,1,2,6,8,0,8,0,27,3.375,6,0.5625,7,1,8,0,1,6.0,0.0,0.8571428571428571,2.0,0.3226190476190477,0.3586775775673373,1.7933878878366865,1.0,10,1.0,0.0,5,15,5,0
